AcquiredAbnormality | acab 
Activity | acty 
AgeGroup | aggp 
Alga | alga 
AminoAcidSequence | amas 
AminoAcidPeptideOrProtein | aapp 
Amphibian | amph 
AnatomicalAbnormality | anab 
AnatomicalStructure | anst 
Animal | anim 
Antibiotic | antb 
Archaeon | arch 
Bacterium | bact 
Behavior | bhvr 
BiologicFunction | biof 
BiologicallyActiveSubstance | bacs 
BiomedicalOccupationOrDiscipline | bmod 
BiomedicalOrDentalMaterial | bodm 
Bird | bird 
BodyLocationOrRegion | blor 
BodyPartOrganOrOrganComponent | bpoc 
BodySpaceOrJunction | bsoj 
BodySubstance | bdsu 
BodySystem | bdsy 
Carbohydrate | carb 
CarbohydrateSequence | crbs 
Cell | cell 
CellComponent | celc 
CellFunction | celf 
CellOrMolecularDysfunction | comd 
Chemical | chem 
ChemicalViewedFunctionally | chvf 
ChemicalViewedStructurally | chvs 
Classification | clas 
ClinicalAttribute | clna 
ClinicalDrug | clnd 
ConceptualEntity | cnce 
CongenitalAbnormality | cgab 
DailyOrRecreationalActivity | dora 
DiagnosticProcedure | diap 
DiseaseOrSyndrome | dsyn 
DrugDeliveryDevice | drdd 
EducationalActivity | edac 
Eicosanoid | eico 
ElementIonOrIsotope | elii 
EmbryonicStructure | emst 
Entity | enty 
EnvironmentalEffectOfHumans | eehu 
Enzyme | enzy 
Event | evnt 
ExperimentalModelOfDisease | emod 
Eukaryota | euka
FamilyGroup | famg 
Finding | fndg 
Fish | fish 
Food | food 
FullyFormedAnatomicalStructure | ffas 
FunctionalConcept | ftcn 
Fungus | fngs 
GeneOrGeneProduct | gngp 
GeneOrGenome | gngm 
GeneticFunction | genf 
GeographicArea | geoa 
GovernmentalOrRegulatoryActivity | gora 
Group | grup 
GroupAttribute | grpa 
HazardousOrPoisonousSubstance | hops 
HealthCareActivity | hlca 
HealthCareRelatedOrganization | hcro 
Hormone | horm 
Human | humn 
Human-causedPhenomenonOrProcess | hcpp 
IdeaOrConcept | idcn 
ImmunologicFactor | imft 
IndicatorReagentOrDiagnosticAid | irda 
IndividualBehavior | inbe 
InjuryOrPoisoning | inpo 
InorganicChemical | inch 
IntellectualProduct | inpr 
Invertebrate | invt 
LaboratoryProcedure | lbpr 
LaboratoryOrTestResult | lbtr 
Language | lang 
Lipid | lipd 
MachineActivity | mcha 
Mammal | mamm 
ManufacturedObject | mnob 
MedicalDevice | medd 
MentalProcess | menp 
MentalOrBehavioralDysfunction | mobd 
MolecularBiologyResearchTechnique | mbrt 
MolecularFunction | moft 
MolecularSequence | mosq 
NaturalPhenomenonOrProcess | npop 
NeoplasticProcess | neop 
NeuroreactiveSubstanceOrBiogenicAmine | nsba 
NucleicAcidNucleosideOrNucleotide | nnon 
NucleotideSequence | nusq 
Object | objt 
OccupationOrDiscipline | ocdi 
OccupationalActivity | ocac 
OrganOrTissueFunction | ortf 
OrganicChemical | orch 
Organism | orgm 
OrganismAttribute | orga 
OrganismFunction | orgf 
Organization | orgt 
OrganophosphorusCompound | opco 
PathologicFunction | patf 
PatientOrDisabledGroup | podg 
PharmacologicSubstance | phsu 
PhenomenonOrProcess | phpr 
PhysicalObject | phob 
PhysiologicFunction | phsf 
Plant | plnt 
PopulationGroup | popg 
ProfessionalSociety | pros 
ProfessionalOrOccupationalGroup | prog 
QualitativeConcept | qlco 
QuantitativeConcept | qnco 
Receptor | rcpt 
RegulationOrLaw | rnlw 
Reptile | rept 
ResearchActivity | resa 
ResearchDevice | resd 
RickettsiaOrChlamydia | rich 
Self-helpOrReliefOrganization | shro 
SignOrSymptom | sosy 
SocialBehavior | socb 
SpatialConcept | spco 
Steroid | strd 
Substance | sbst 
TemporalConcept | tmco 
TherapeuticOrPreventiveProcedure | topp 
Tissue | tisu 
Vertebrate | vtbt 
Virus | virs 
Vitamin | vita 
